"","Date","Day","Action","Perpetrator","Political_target","Target","Event","Country","Location","Issue","Link date","Time","N_Protesters","Arrests","N_ProtestersInjured","Deaths","Prop. Damage","N_StateForces","N_StateInjured","State killed","OSD","Source","Story date","No event found","fecha","District"
"27",1980-01-27,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","27/01/1980","TBD"
"28",1980-01-28,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","28/01/1980","TBD"
"29",1980-01-29,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","29/01/1980","TBD"
"30",1980-01-30,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","30/01/1980","TBD"
"31",1980-01-31,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","31/01/1980","TBD"
"32",1980-02-01,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","01/02/1980","TBD"
"33",1980-02-02,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","02/02/1980","TBD"
"34",1980-02-03,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","03/02/1980","TBD"
"35",1980-02-04,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","04/02/1980","TBD"
"36",1980-02-05,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","05/02/1980","TBD"
"37",1980-02-06,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","06/02/1980","TBD"
"38",1980-02-07,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","07/02/1980","TBD"
"39",1980-02-08,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","08/02/1980","TBD"
"40",1980-02-09,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","09/02/1980","TBD"
"41",1980-02-10,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","10/02/1980","TBD"
"42",1980-02-11,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","11/02/1980","TBD"
"43",1980-02-12,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","12/02/1980","TBD"
"44",1980-02-13,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","13/02/1980","TBD"
"45",1980-02-14,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","14/02/1980","TBD"
"46",1980-02-15,"Fri","trial","UDA","government","court","2 UDA members convicted of attempted murder","Ireland","Dublin","anti-PIRA",NA,NA,2,2,0,0,"N",0,0,0,350000,"Reuters","15/02/1980",NA,"15/02/1980","TBD"
"47",1980-02-16,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","16/02/1980","TBD"
"48",1980-02-17,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","17/02/1980","TBD"
"49",1980-02-18,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","18/02/1980","TBD"
"50",1980-02-19,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","19/02/1980","TBD"
"51",1980-02-20,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","20/02/1980","TBD"
"52",1980-02-21,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","21/02/1980","TBD"
"53",1980-02-22,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","22/02/1980","TBD"
"54",1980-02-23,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","23/02/1980","TBD"
"55",1980-02-24,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","24/02/1980","TBD"
"56",1980-02-25,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","25/02/1980","TBD"
"57",1980-02-26,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","26/02/1980","TBD"
"58",1980-02-27,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","27/02/1980","TBD"
"59",1980-02-28,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","28/02/1980","TBD"
"60",1980-02-29,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","29/02/1980","TBD"
"61",1980-03-01,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","01/03/1980","TBD"
"62",1980-03-02,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","02/03/1980","TBD"
"63",1980-03-03,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","03/03/1980","TBD"
"64",1980-03-04,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","04/03/1980","TBD"
"65",1980-03-05,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","05/03/1980","TBD"
"66",1980-03-06,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","06/03/1980","TBD"
"67",1980-03-07,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","07/03/1980","TBD"
"68",1980-03-08,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","08/03/1980","TBD"
"69",1980-03-09,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","09/03/1980","TBD"
"70",1980-03-10,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","10/03/1980","TBD"
"71",1980-03-11,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","11/03/1980","TBD"
"72",1980-03-12,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","12/03/1980","TBD"
"73",1980-03-13,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","13/03/1980","TBD"
"74",1980-03-14,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","14/03/1980","TBD"
"75",1980-03-15,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","15/03/1980","TBD"
"76",1980-03-16,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","16/03/1980","TBD"
"77",1980-03-17,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","17/03/1980","TBD"
"78",1980-03-18,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","18/03/1980","TBD"
"79",1980-03-19,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","19/03/1980","TBD"
"80",1980-03-20,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","20/03/1980","TBD"
"81",1980-03-21,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","21/03/1980","TBD"
"82",1980-03-22,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","22/03/1980","TBD"
"83",1980-03-23,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","23/03/1980","TBD"
"84",1980-03-24,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","24/03/1980","TBD"
"85",1980-03-25,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","25/03/1980","TBD"
"86",1980-03-26,"Wed","hostage-nd","PIRA","government","police","gunman holds 3 hostage, then surrenders","Ireland","Dundalk","Irish unity",NA,NA,1,0,0,0,"N",31,0,0,7424,"Reuters","26/03/1980",NA,"26/03/1980","TBD"
"87",1980-03-27,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","27/03/1980","TBD"
"88",1980-03-28,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","28/03/1980","TBD"
"89",1980-03-29,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","29/03/1980","TBD"
"90",1980-03-30,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","30/03/1980","TBD"
"91",1980-03-31,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","31/03/1980","TBD"
"92",1980-04-01,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","01/04/1980","TBD"
"93",1980-04-02,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","02/04/1980","TBD"
"94",1980-04-03,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","03/04/1980","TBD"
"95",1980-04-04,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","04/04/1980","TBD"
"96",1980-04-05,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","05/04/1980","TBD"
"97",1980-04-06,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","06/04/1980","TBD"
"98",1980-04-07,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","07/04/1980","TBD"
"99",1980-04-08,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","08/04/1980","TBD"
"100",1980-04-09,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","09/04/1980","TBD"
"101",1980-04-10,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","10/04/1980","TBD"
"102",1980-04-11,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","11/04/1980","TBD"
"103",1980-04-12,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","12/04/1980","TBD"
"104",1980-04-13,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","13/04/1980","TBD"
"105",1980-04-14,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","14/04/1980","TBD"
"106",1980-04-15,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","15/04/1980","TBD"
"107",1980-04-16,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","16/04/1980","TBD"
"108",1980-04-17,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","17/04/1980","TBD"
"109",1980-04-18,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","18/04/1980","TBD"
"110",1980-04-19,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","19/04/1980","TBD"
"111",1980-04-20,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","20/04/1980","TBD"
"112",1980-04-21,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","21/04/1980","TBD"
"113",1980-04-22,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","22/04/1980","TBD"
"114",1980-04-23,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","23/04/1980","TBD"
"115",1980-04-24,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","24/04/1980","TBD"
"116",1980-04-25,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","25/04/1980","TBD"
"117",1980-04-26,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","26/04/1980","TBD"
"118",1980-04-27,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","27/04/1980","TBD"
"119",1980-04-28,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","28/04/1980","TBD"
"120",1980-04-29,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","29/04/1980","TBD"
"121",1980-04-30,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","30/04/1980","TBD"
"122",1980-05-01,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","01/05/1980","TBD"
"123",1980-05-02,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","02/05/1980","TBD"
"124",1980-05-03,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","03/05/1980","TBD"
"125",1980-05-04,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","04/05/1980","TBD"
"126",1980-05-05,"Mon","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Economist","10/05/1980",NA,"05/05/1980","TBD"
"127",1980-05-06,"Tue","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Economist","10/05/1980",NA,"06/05/1980","TBD"
"128",1980-05-07,"Wed","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Economist","10/05/1980",NA,"07/05/1980","TBD"
"129",1980-05-08,"Thu","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Economist","10/05/1980",NA,"08/05/1980","TBD"
"130",1980-05-09,"Fri","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Economist","10/05/1980",NA,"09/05/1980","TBD"
"131",1980-05-10,"Sat","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA,"10/05/1980","TBD"
"132",1980-05-11,"Sun","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA,"11/05/1980","TBD"
"133",1980-05-12,"Mon","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA,"12/05/1980","TBD"
"134",1980-05-13,"Tue","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA,"13/05/1980","TBD"
"135",1980-05-14,"Wed","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA,"14/05/1980","TBD"
"136",1980-05-15,"Thu","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA,"15/05/1980","TBD"
"137",1980-05-16,"Fri","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA,"16/05/1980","TBD"
"138",1980-05-17,"Sat","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA,"17/05/1980","TBD"
"139",1980-05-18,"Sun","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA,"18/05/1980","TBD"
"140",1980-05-19,"Mon","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA,"19/05/1980","TBD"
"141",1980-05-20,"Tue","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA,"20/05/1980","TBD"
