"","Date","Day","Action","Protester","State/target","Agent","Event","Country","Location","Issue","Link date","Time","# Protesters","Arrests","Injuries...15","Deaths","Prop. Damage","# State","Injuries...19","State killed","OSD","Source","Story date","No event found"
"23","23/01/1980","Wed","demonstration","workers","government",NA,"protest high taxes","Ireland","Dublin","taxes",NA,NA,250000,0,0,0,"N",0,0,0,678827,"Xinhau","23/01/1980",NA
"24","24/01/1980","Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"25","25/01/1980","Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"26","26/01/1980","Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"27","27/01/1980","Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"28","28/01/1980","Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"29","29/01/1980","Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"30","30/01/1980","Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"31","31/01/1980","Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"32","01/02/1980","Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"33","02/02/1980","Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"34","03/02/1980","Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"35","04/02/1980","Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"36","05/02/1980","Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"37","06/02/1980","Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"38","07/02/1980","Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"39","08/02/1980","Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"40","09/02/1980","Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"41","10/02/1980","Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"42","11/02/1980","Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"43","12/02/1980","Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"44","13/02/1980","Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"45","14/02/1980","Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"46","15/02/1980","Fri","trial","UDA","government","court","2 UDA members convicted of attempted murder","Ireland","Dublin","anti-PIRA",NA,NA,2,2,0,0,"N",0,0,0,350000,"Reuters","15/02/1980",NA
"47","16/02/1980","Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"48","17/02/1980","Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"49","18/02/1980","Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"50","19/02/1980","Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"51","20/02/1980","Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"52","21/02/1980","Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"53","22/02/1980","Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"54","23/02/1980","Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"55","24/02/1980","Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"56","25/02/1980","Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"57","26/02/1980","Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"58","27/02/1980","Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"59","28/02/1980","Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"60","29/02/1980","Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"61","01/03/1980","Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"62","02/03/1980","Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"63","03/03/1980","Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"64","04/03/1980","Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"65","05/03/1980","Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"66","06/03/1980","Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"67","07/03/1980","Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"68","08/03/1980","Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"69","09/03/1980","Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"70","10/03/1980","Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"71","11/03/1980","Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"72","12/03/1980","Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"73","13/03/1980","Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"74","14/03/1980","Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"75","15/03/1980","Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"76","16/03/1980","Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"77","17/03/1980","Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"78","18/03/1980","Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"79","19/03/1980","Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"80","20/03/1980","Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"81","21/03/1980","Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"82","22/03/1980","Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"83","23/03/1980","Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"84","24/03/1980","Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"85","25/03/1980","Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"86","26/03/1980","Wed","hostage-nd","PIRA","government","police","gunman holds 3 hostage, then surrenders","Ireland","Dundalk","Irish unity",NA,NA,1,0,0,0,"N",31,0,0,7424,"Reuters","26/03/1980",NA
"87","27/03/1980","Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"88","28/03/1980","Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"89","29/03/1980","Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"90","30/03/1980","Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"91","31/03/1980","Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"92","01/04/1980","Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"93","02/04/1980","Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"94","03/04/1980","Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"95","04/04/1980","Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"96","05/04/1980","Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"97","06/04/1980","Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"98","07/04/1980","Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"99","08/04/1980","Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"100","09/04/1980","Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"101","10/04/1980","Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"102","11/04/1980","Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"103","12/04/1980","Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"104","13/04/1980","Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"105","14/04/1980","Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"106","15/04/1980","Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"107","16/04/1980","Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"108","17/04/1980","Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"109","18/04/1980","Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"110","19/04/1980","Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"111","20/04/1980","Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"112","21/04/1980","Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"113","22/04/1980","Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"114","23/04/1980","Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"115","24/04/1980","Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"116","25/04/1980","Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"117","26/04/1980","Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"118","27/04/1980","Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"119","28/04/1980","Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"120","29/04/1980","Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"121","30/04/1980","Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"122","01/05/1980","Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"123","02/05/1980","Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"124","03/05/1980","Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"125","04/05/1980","Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event"
"126","05/05/1980","Mon","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Economist","10/05/1980",NA
"127","06/05/1980","Tue","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Economist","10/05/1980",NA
"128","07/05/1980","Wed","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Economist","10/05/1980",NA
"129","08/05/1980","Thu","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Economist","10/05/1980",NA
"130","09/05/1980","Fri","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Economist","10/05/1980",NA
"131","10/05/1980","Sat","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"132","11/05/1980","Sun","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"133","12/05/1980","Mon","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"134","13/05/1980","Tue","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"135","14/05/1980","Wed","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"136","15/05/1980","Thu","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"137","16/05/1980","Fri","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"138","17/05/1980","Sat","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"139","18/05/1980","Sun","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"140","19/05/1980","Mon","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"141","20/05/1980","Tue","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"142","21/05/1980","Wed","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"143","22/05/1980","Thu","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"144","23/05/1980","Fri","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"145","24/05/1980","Sat","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"146","25/05/1980","Sun","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"147","26/05/1980","Mon","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"148","27/05/1980","Tue","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"149","28/05/1980","Wed","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"150","29/05/1980","Thu","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"151","30/05/1980","Fri","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"152","31/05/1980","Sat","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"153","01/06/1980","Sun","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"154","02/06/1980","Mon","strike","maintenance workers","firm","Aer Lingus","strike for higher pay","Ireland","Shannon","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"155","02/06/1980","Mon","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"156","03/06/1980","Tue","strike","maintenance workers","firm","Aer Lingus","strike for higher pay","Ireland","Shannon","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"157","03/06/1980","Tue","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"158","04/06/1980","Wed","strike","maintenance workers","firm","Aer Lingus","strike for higher pay","Ireland","Shannon","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
"159","04/06/1980","Wed","strike","pipefitters","firm","Alcan","strike for higher pay at construction site","Ireland","Aughinish Island","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Forbes","04/08/1980",NA
